NetID,Name,Assigned Project
student1,Student 1,Project 1
student2,Student 2,Project 1
student3,Student 3,Project 1
student4,Student 4,Project 14
student5,Student 5,Project 14
student6,Student 6,Project 14
student7,Student 7,Project 23
student8,Student 8,Project 23
student9,Student 9,Project 23
student10,Student 10,Project 23
student11,Student 11,Project 19
student12,Student 12,Project 19
student13,Student 13,Project 19
student14,Student 14,Project 18
student15,Student 15,Project 6
student16,Student 16,Project 3
student17,Student 17,Project 1
student18,Student 18,Project 26
student19,Student 19,Project 26
student20,Student 20,Project 26
student21,Student 21,Project 13
student22,Student 22,Project 12
student23,Student 23,Project 19
student24,Student 24,Project 17
student25,Student 25,Project 4
student26,Student 26,Project 18
student27,Student 27,Project 5
student28,Student 28,Project 5
student29,Student 29,Project 5
student30,Student 30,Project 4
student31,Student 31,Project 26
student32,Student 32,Project 9
student33,Student 33,Project 9
student34,Student 34,Project 13
student35,Student 35,Project 12
student36,Student 36,Project 12
student37,Student 37,Project 12
student38,Student 38,Project 17
student39,Student 39,Project 3
student40,Student 40,Project 3
student41,Student 41,Project 3
student42,Student 42,Project 26
student43,Student 43,Project 18
student44,Student 44,Project 18
student45,Student 45,Project 18
student46,Student 46,Project 4
student47,Student 47,Project 5
student48,Student 48,Project 14
student49,Student 49,Project 4
student50,Student 50,Project 18
student51,Student 51,Project 9
student52,Student 52,Project 9
student53,Student 53,Project 9
student54,Student 54,Project 13
student55,Student 55,Project 13
student56,Student 56,Project 23
student57,Student 57,Project 1
student58,Student 58,Project 1
student59,Student 59,Project 9
student60,Student 60,Project 4
student61,Student 61,Project 13
student62,Student 62,Project 13
student63,Student 63,Project 4
student64,Student 64,Project 6
student65,Student 65,Project 6
student66,Student 66,Project 6
student67,Student 67,Project 6
student68,Student 68,Project 6
student69,Student 69,Project 26
student70,Student 70,Project 17
student71,Student 71,Project 17
student72,Student 72,Project 3
